START_DATE,Start_Date,Start_Time,END_Time,End_Date,End_Time,CATEGORY,Time_diff,Hour,START,STOP,MILES,Speed,PURPOSE
12/3/2016 20:31,12/3/2016,8:31:00 PM,12/3/2016 20:41,12/3/2016,8:41:00 PM,Business,0.006944444,0.333333333,Morrisville,Cary,3,9,Customer Visit
12/4/2016 18:56,12/4/2016,6:56:00 PM,12/4/2016 19:03,12/4/2016,7:03:00 PM,Business,0.004861111,0.233333333,Cary,Morrisville,2.9,12.42857143,Meal/Entertain
12/4/2016 20:23,12/4/2016,8:23:00 PM,12/4/2016 20:34,12/4/2016,8:34:00 PM,Business,0.007638889,0.366666667,Morrisville,Cary,3.4,9.272727273,Customer Visit
12/5/2016 18:04,12/5/2016,6:04:00 PM,12/5/2016 18:17,12/5/2016,6:17:00 PM,Business,0.009027778,0.433333333,Cary,Cary,4.1,9.461538462,
12/5/2016 19:22,12/5/2016,7:22:00 PM,12/5/2016 19:37,12/5/2016,7:37:00 PM,Business,0.010416667,0.5,Cary,Cary,3.8,7.6,Meal/Entertain
12/7/2016 12:03,12/7/2016,12:03:00 PM,12/7/2016 12:32,12/7/2016,12:32:00 PM,Business,0.020138889,0.566666667,Cary,Cary,6.6,11.64705882,Meeting
12/7/2016 12:35,12/7/2016,12:35:00 PM,12/7/2016 12:46,12/7/2016,12:46:00 PM,Business,0.007638889,0.366666667,Cary,Cary,4,10.90909091,Meeting
12/7/2016 19:53,12/7/2016,7:53:00 PM,12/7/2016 20:13,12/7/2016,8:13:00 PM,Business,0.013888889,0.666666667,Cary,Cary,7,10.5,Customer Visit
12/7/2016 21:13,12/7/2016,9:13:00 PM,12/7/2016 21:50,12/7/2016,9:50:00 PM,Business,0.025694444,0.833333333,Cary,Cary,6.9,8.28,Meal/Entertain
12/8/2016 14:19,12/8/2016,2:19:00 PM,12/8/2016 14:32,12/8/2016,2:32:00 PM,Business,0.009027778,0.433333333,Cary,Cary,3.4,7.846153846,Errand/Supplies
12/8/2016 14:53,12/8/2016,2:53:00 PM,12/8/2016 15:02,12/8/2016,3:02:00 PM,Business,0.00625,0.3,Cary,Cary,3.4,11.33333333,Errand/Supplies
12/8/2016 19:22,12/8/2016,7:22:00 PM,12/8/2016 19:27,12/8/2016,7:27:00 PM,Business,0.003472222,0.166666667,Cary,Cary,2,12,Meeting
12/8/2016 21:26,12/8/2016,9:26:00 PM,12/8/2016 21:31,12/8/2016,9:31:00 PM,Business,0.003472222,0.166666667,Cary,Cary,2,12,Errand/Supplies
12/9/2016 12:09,12/9/2016,12:09:00 PM,12/9/2016 12:24,12/9/2016,12:24:00 PM,Business,0.010416667,0.5,Cary,Apex,5.1,10.2,Errand/Supplies
12/9/2016 13:15,12/9/2016,1:15:00 PM,12/9/2016 13:43,12/9/2016,1:43:00 PM,Business,0.019444444,0.533333333,Apex,Cary,8.8,16.5,Temporary Site
12/9/2016 20:11,12/9/2016,8:11:00 PM,12/9/2016 20:34,12/9/2016,8:34:00 PM,Business,0.015972222,0.766666667,Cary,Cary,5.6,7.304347826,Meeting
12/9/2016 22:03,12/9/2016,10:03:00 PM,12/9/2016 22:57,12/9/2016,10:57:00 PM,Business,0.0375,1,Cary,Cary,18.9,18.9,Customer Visit
12/10/2016 12:43,12/10/2016,12:43:00 PM,12/10/2016 13:16,12/10/2016,1:16:00 PM,Business,0.022916667,0.7,Cary,Fuquay-Varina,15.6,22.28571429,Meeting
12/10/2016 14:42,12/10/2016,2:42:00 PM,12/10/2016 15:18,12/10/2016,3:18:00 PM,Business,0.025,0.8,Fuquay-Varina,Cary,15.6,19.5,Errand/Supplies
12/10/2016 18:17,12/10/2016,6:17:00 PM,12/10/2016 18:27,12/10/2016,6:27:00 PM,Business,0.006944444,0.333333333,Cary,Morrisville,3,9,Meal/Entertain
12/10/2016 22:09,12/10/2016,10:09:00 PM,12/10/2016 22:21,12/10/2016,10:21:00 PM,Business,0.008333333,0.4,Morrisville,Cary,3.1,7.75,Customer Visit
12/11/2016 16:06,12/11/2016,4:06:00 PM,12/11/2016 16:16,12/11/2016,4:16:00 PM,Business,0.006944444,0.333333333,Cary,Morrisville,3,9,Meal/Entertain
12/11/2016 19:05,12/11/2016,7:05:00 PM,12/11/2016 19:15,12/11/2016,7:15:00 PM,Business,0.006944444,0.333333333,Morrisville,Cary,4.8,14.4,Errand/Supplies
